New York ,New York,8363710
Los Angeles ,California,3833995
Chicago ,Illinois,2853114
Houston ,Texas,2242193
Phoenix ,Arizona,1567924
Philadelphia ,Pennsylvania,1447395
San Antonio ,Texas,1351305
Dallas ,Texas,1279910
San Diego ,California,1279329
San Jose ,California,948279
Detroit ,Michigan,912062
San Francisco ,California,808976
Jacksonville ,Florida,807815
Indianapolis,Indiana,798382
Austin ,Texas,757688
Columbus ,Ohio,754885
Fort Worth ,Texas,703073
Charlotte ,North Carolina,687456
Memphis ,Tennessee,669651
Baltimore ,Maryland,636919
El Paso ,Texas,613190
Boston ,Massachusetts,609023
Milwaukee ,Wisconsin,604477
Denver ,Colorado,598707
Seattle ,Washington,598541
Nashville,Tennessee,596462
Washington ,DC,591833
Las Vegas ,Nevada,558383
Portland ,Oregon,557706
Louisville,Kentucky,557224
Oklahoma City ,Oklahoma,551789
Tucson ,Arizona,541811
Atlanta ,Georgia,537958
Albuquerque ,New Mexico,521999
Fresno ,California,476050
Sacramento ,California,463794
Long Beach ,California,463789
Mesa ,Arizona,463552
Kansas City ,Missouri,451572
Omaha ,Nebraska,438646
Cleveland ,Ohio,433748
Virginia Beach ,Virginia,433746
Miami ,Florida,413201
Oakland ,California,404155
Raleigh ,North Carolina,392552
Tulsa ,Oklahaoma,385635
Minneapolis ,Minnesota,382605
Colorado Springs ,Colorado,380307
Honolulu,Hawaii,374676
Arlington ,Texas,374417
